,train_loss,valid_loss,train_acc,valid_acc,train_auc,valid_auc
0,2.1898229403335803,1.747802164194389,0.25485665457589285,0.4014819453141307,0.7876420046799467,0.912281483241415
1,1.3739369628167786,1.2975465935066164,0.5328717912946429,0.5405621651708064,0.9270652954028257,0.9568891366882468
2,0.9747224480744361,1.0422454867358837,0.6797136579241071,0.643776525429625,0.9607924168073193,0.9722393749877192
3,0.8155630816489762,0.9204274801540177,0.7356916155133929,0.6860432755861685,0.9716514684609971,0.9776559162650739
4,0.7288229563159281,0.8603464069777875,0.7623639787946429,0.7120294997564879,0.976943978270884,0.9812472638863005
5,0.6775833168513402,0.777457285734118,0.7761579241071429,0.7384679607597578,0.9800411179504435,0.9832635158033611
6,0.6402507044348048,0.7625822492086912,0.7876674107142857,0.7405899951297572,0.9819010947354847,0.9852792637463106
7,0.6001556417718048,0.7088306168796797,0.80096435546875,0.7539135879774578,0.9838395142717808,0.9868135721969242
8,0.563271977867538,0.6790490095308456,0.8114449637276786,0.7653586585959786,0.9857766471275996,0.9880328961599398
9,0.5474495002878473,0.6798257179991488,0.8162318638392857,0.7615320392402422,0.9866106006598109,0.9890211565950923
10,0.5199824736244355,0.6517385758475811,0.8251081194196429,0.7727683851666319,0.9878286861889815,0.9898529728413107
11,0.5002587179400257,0.6635113064779972,0.8297555106026786,0.7721422110902386,0.9885252449671406,0.9897905611744288
12,0.48332118374103167,0.6740515183707257,0.8329119001116071,0.765045571557782,0.9894574594537534,0.9904449724780814
13,0.4670173816421701,0.5799394341630789,0.8398088727678571,0.7920406317400682,0.9899994569896242,0.9913977480771935
14,0.45002394412269686,0.5859172395858375,0.8429914202008929,0.7929103179572811,0.9908198894310817,0.9918230969791207
15,0.434896896190736,0.5489419876851955,0.8475690569196429,0.8014332428859667,0.9913766465119008,0.9924446733445744
16,0.42237638661596916,0.5766123014298062,0.8516496930803571,0.7932581924441662,0.9918364329614724,0.9926354415204326
17,0.41439212519321655,0.5575352172084197,0.8538731166294643,0.7974326862867878,0.992118486364301,0.9930422440402052
18,0.40363830392648214,0.537713344134975,0.85662841796875,0.8017463299241634,0.9925491510290567,0.9932261612978311
19,0.3947084709979984,0.5157336921301893,0.8597150530133929,0.8082167953802268,0.9928501799684119,0.9934871349364315
20,0.38602367079392835,0.5342422979419547,0.8619035993303571,0.8023029291031796,0.9931495134723197,0.9936707293800767
21,0.3867676864080286,0.5210776818947576,0.8610403878348214,0.8056077367285883,0.9931481518072914,0.9939247933199461
22,0.37452256852826793,0.49966311981548356,0.8660539899553571,0.8133305503374383,0.9935817789253687,0.9941456991557265
23,0.36510147917154917,0.48438126028531736,0.8682861328125,0.819348778960551,0.9938187021775936,0.9943185261963302
24,0.362246121799055,0.510486138861975,0.8693586077008929,0.8069992346761289,0.9938997033387127,0.9944685694737136
25,0.3574606182149956,0.48956675613215644,0.8705793108258929,0.8166701454115355,0.9940745155639049,0.9945685192894741
26,0.35276584138766026,0.45927316309954197,0.8726283482142857,0.8250887079941557,0.9942041285101014,0.9946990174900497
27,0.34669033738252636,0.4498360034839679,0.8739362444196429,0.8276629791971056,0.9943272922906711,0.9948466587250593
28,0.3394963818024391,0.4729365341456468,0.8769792829241071,0.8208098518054686,0.9946375805806471,0.9948006482506894
29,0.33582322010647686,0.469819998098046,0.8772408621651786,0.8236972100466152,0.9947299502232798,0.9949127057718578
30,0.33039338504025656,0.4654248433876304,0.8788539341517857,0.8240798719821888,0.994856560728302,0.9948846112541311
31,0.3291310350611155,0.48926831557349304,0.8800223214285714,0.8165309956167814,0.9949207129255223,0.9947539107951326
32,0.32768077479855584,0.47974619983363076,0.8789324079241071,0.8223057120990747,0.9949768346429956,0.9949026296937303
33,0.3191494755676635,0.4474579628582046,0.8830130440848214,0.8287761775551381,0.9952416006958201,0.9951980404181224
34,0.3140912874756734,0.4443887848994502,0.8850359235491071,0.8319766228344814,0.9952859738706497,0.9952126198242032
35,0.31052005318241466,0.43584328055490423,0.8858642578125,0.8331593960898908,0.9953810575292543,0.9953510568027134
36,0.3039544468751938,0.4522380221278775,0.8877737862723214,0.8309329993738259,0.995595050387374,0.9952663194347184
37,0.3034436878843389,0.4559161110393346,0.8889683314732143,0.8241842343282544,0.9955225584965132,0.9952423116455419
38,0.3026285166980252,0.42935831236305455,0.8877301897321429,0.8359771794336603,0.9955577964103601,0.9953553021610964
39,0.29585573780744523,0.4365863490709608,0.8897966657366071,0.8300981006053016,0.9957346863876796,0.9955196368572323
40,0.2925749295875105,0.41208413098131347,0.89166259765625,0.8415431712238225,0.9958445274873657,0.9955954778859197
41,0.29014973375068537,0.4308858229822473,0.8926042829241071,0.8334029082307104,0.9958861444765704,0.9954478096796038
42,0.288280738904838,0.4242439286383769,0.8924996512276786,0.8389689000208724,0.9959096440822243,0.9955431634041207
43,0.2835433089162292,0.44097241137952115,0.8944963727678571,0.8291588394907118,0.9960634877062731,0.9957647050148888
44,0.2808223378374561,0.4277245505339948,0.8949148995535714,0.8346900438321854,0.9961261684564148,0.9956462799261331
45,0.28258332926268165,0.4713815800001205,0.89404296875,0.8227579489320254,0.9960655693192376,0.9957150862071333
46,0.27135837785943456,0.41542663530546375,0.8985072544642857,0.8422041327489042,0.9963471562242172,0.9957943942566784
47,0.2739302439628397,0.4121961558206579,0.8972429547991071,0.8426215821331664,0.9962723349222286,0.9956902234803647
48,0.2693569433175622,0.3860973452482548,0.9003731863839286,0.8501704584985738,0.9963945062172848,0.9958466826226154
49,0.27114415305579703,0.4228514311743958,0.89898681640625,0.8365337786126765,0.9963500938489126,0.9958394979736023
50,0.2657434019175098,0.42682492694971635,0.9009050641741071,0.8366033535100535,0.9964318612053799,0.9958659567010876
51,0.2614824128446807,0.4066614502751534,0.9026750837053571,0.8434912683503791,0.9965774550090554,0.9959347486741078
52,0.2639179055613414,0.3791713412821179,0.9018729073660714,0.8551798511097196,0.9964571489339549,0.9959491011036337
53,0.2559791756792221,0.41825269400533915,0.9044974190848214,0.8391080498156265,0.9967013028379637,0.9959258122735621
54,0.25316437585194135,0.3945079953123307,0.9058489118303571,0.8511097196131636,0.9967353030587099,0.9960494825820312
55,0.2516379764374011,0.4389391914242914,0.9061453683035714,0.8326723718082516,0.9967900908338391,0.9959895826161199
56,0.2499982127553943,0.3952217263878434,0.9070347377232143,0.8492311973839839,0.9967942485636121,0.9959978329209211
57,0.25175578886048056,0.40006964665363404,0.9057704380580357,0.8464134140402143,0.9967962375615452,0.9960533439428635
58,0.24861198929575265,0.4272317270857929,0.9065900530133929,0.8393167745077575,0.9968340229097686,0.9960015599457516
59,0.24237786519520627,0.41075910113142694,0.9089878627232143,0.8436652055938217,0.996984207121829,0.9959816058812854
60,0.24291656732544026,0.43209284288006444,0.9088919503348214,0.8381340012523482,0.9969549393304278,0.9960393042737052
61,0.2418985119098486,0.3750230874444219,0.9099993024553571,0.8563278369164405,0.9969371371491411,0.9960509772656143
62,0.24415224563857624,0.3814853638418791,0.9095023018973214,0.852431642663327,0.9968942433832447,0.9960455316748345
63,0.23497749482782854,0.41337746557028915,0.9128243582589286,0.8414735963264455,0.9970974886811891,0.9960747338566371
64,0.23558695991882067,0.3653994822382363,0.9112461635044643,0.8575801850692271,0.9971177161238032,0.9961987683899477
65,0.23677248812143187,0.37898320683545805,0.912109375,0.8555277255966047,0.9970459553372323,0.9959860097237664
66,0.23287915698684425,0.41322141913883886,0.9128766741071429,0.8453350031308704,0.997134081451696,0.9960766317993089
67,0.2310771474252993,0.40177169546165625,0.9127633231026786,0.8497530091143115,0.9971765241729305,0.9960653701441881
68,0.23132481587291773,0.3802209363213457,0.9126935686383929,0.8554233632505392,0.9971569796844979,0.9961127463039638
69,0.22885132819937856,0.39464464985967707,0.9142368861607143,0.844500104362346,0.9972482582379815,0.9961533124681691
70,0.22529475301551743,0.3939673924231144,0.9156145368303571,0.8505531204341473,0.9972903780246686,0.996034520623889
71,0.22433367952760855,0.3874194996086439,0.9162510463169643,0.8523272803172616,0.9972960534269871,0.9962469356445349
72,0.22380621855437305,0.3958084688552614,0.9159894670758929,0.8490224726918528,0.9973183952207573,0.9961690357600756
73,0.22401891059828882,0.4111634364885834,0.9163818359375,0.8416823210185765,0.9973433509354235,0.9961998981295074
74,0.22143227884580605,0.419098105566955,0.9173845563616071,0.841647533569888,0.9973466456812864,0.9961752312021154
75,0.22039054604175168,0.4111574722806577,0.9173496791294643,0.8433869060043137,0.9973594936379331,0.9960620158514338
76,0.21617863899037545,0.391963890983839,0.9185878208705357,0.8533361163292285,0.9974825660761467,0.9962934979868187
77,0.21656869978373475,0.38302462667814413,0.9189889090401786,0.8563626243651291,0.997455216191628,0.9961687902495016
78,0.21326606899126663,0.39308421346558486,0.9198957170758929,0.8485354484102136,0.9975567900432292,0.996276815091995
79,0.21220145243511532,0.37786442434424816,0.9198346819196429,0.8603283935156195,0.9975394728170389,0.9962014196616927
80,0.20868575249383173,0.3975397810342457,0.92181396484375,0.8507618451262784,0.997581173198294,0.9961286461006262
81,0.20912601575034626,0.38808867338844927,0.9215175083705357,0.8565365616085716,0.9976052860811231,0.9961513965636152
82,0.2096872272953488,0.40238147847480515,0.9218314034598214,0.8480484241285744,0.9975969235905355,0.9962270861725052
83,0.2097409319666827,0.37475838053586136,0.9219185965401786,0.8557364502887358,0.9976133794250935,0.9962819758786488
84,0.20408559805370574,0.3846992411684687,0.9237322126116071,0.8558756000834898,0.9977262936803899,0.9963152520497468
