train_loss,train_acc,valid_loss,valid_acc
2.4322818228224423,0.15152413504464285,2.1757776728942044,0.2342934669171363
1.6591648947836801,0.42502267020089285,1.482990840916259,0.4707785431016489
1.085920969843081,0.6524396623883929,1.2219413650667654,0.5891950184373478
0.927403585966391,0.7086530412946429,1.0692849861810896,0.6444026995060183
0.8177694753835852,0.7434343610491071,0.896580492930886,0.7026716760592778
0.7248509847803263,0.7734462193080357,0.9112946654432894,0.7070548945940305
0.6641531469845416,0.7926199776785714,0.7625976188809124,0.7539135879774578
0.6338972909062243,0.8009033203125,0.7421684345866757,0.757461907743686
0.594473600504735,0.81182861328125,0.7239758521573683,0.7618103388297502
0.566120081807864,0.8197544642857143,0.7013907030427392,0.7656021707367981
0.5401131730695264,0.8252214704241071,0.6526515704098642,0.7784387393028596
0.52300262579264,0.8314644949776786,0.6745065819902829,0.7704376261045015
0.5016493676386194,0.8375331333705357,0.6688518703290881,0.7785778890976136
0.4840803941633241,0.8408987862723214,0.6240182429004841,0.7843873930285953
0.4658220064955829,0.84716796875,0.6591170941888265,0.7728031726153204
0.45277051139715596,0.8492082868303571,0.5638143329284356,0.8053294371390802
0.4427939828778048,0.8518327985491071,0.5381951999691008,0.8111389410700619
0.4260864005196718,0.8580409458705357,0.5958795651483565,0.7962499130313783
0.4184913142375583,0.8578665597098214,0.5847347815871814,0.7952062895707229
0.41217532319523775,0.8594534737723214,0.6124451399974793,0.790475196549085
0.4046936502477304,0.8613455636160714,0.5230959330498836,0.8112433034161275
0.38985924882634626,0.8650774274553571,0.5159390132277947,0.8132957628887497
0.3865710028612077,0.8666120256696429,0.5058842173532704,0.8149655604257984
0.3803336862690046,0.8678501674107143,0.5186935164255204,0.8072427468169484
0.37110535940007366,0.87091064453125,0.48733587381765164,0.8189313295762889
0.36224020389467343,0.8732648577008929,0.5376299011378832,0.8105475544423572
0.3598293728620849,0.8736833844866071,0.5311672271410375,0.8016071801294093
0.35443502481845446,0.8758719308035714,0.47206586852162025,0.827141167466778
0.345204060444232,0.8789934430803571,0.5001710700146126,0.8163918458220274
0.34463332487150256,0.8777988978794643,0.4795992424102985,0.8146872608362903
0.3381390631947051,0.8795427594866071,0.48754253105668205,0.8167745077576011
0.3361313112133339,0.8798740931919643,0.4828742025114472,0.8179572810130105
0.32720962320902774,0.8829868861607143,0.4950952979511649,0.8133653377861267
0.32340656027689046,0.8841901506696429,0.4750722258960067,0.8252278577889097
0.31988704787413164,0.88525390625,0.4370561189133853,0.8348291936269394
0.3174625132806651,0.8859950474330357,0.4822451087244071,0.8131218256453072
0.3107907651011143,0.88751220703125,0.44715704687925656,0.8240798719821888
0.3139440891291393,0.8859165736607143,0.49454162709094546,0.8198358032421902
0.30469506460607804,0.8902936662946429,0.45851314683867306,0.8248451958533362
0.30207255421846757,0.8906773158482143,0.4334532081553632,0.8356988798441523
0.29860218832655666,0.8918544224330357,0.43420125947189114,0.8364642037152995
0.2976734293870164,0.8921683175223214,0.41826722947173567,0.8381340012523482
0.29455065334048297,0.89398193359375,0.46520594637855495,0.8296110763236624
0.29096350269176907,0.8939993722098214,0.44268299826182694,0.833924719961038
0.2855400470994653,0.896728515625,0.43999353922793977,0.8315591734502191
0.2902894059267939,0.8949672154017857,0.42988903001038287,0.8350031308703819
0.28426596983902797,0.8963535853794643,0.474360872095686,0.8215751756766159
0.2815103231167229,0.8975394112723214,0.4091855033614404,0.8437695679398873
0.2766184192724476,0.89959716796875,0.4324601099451129,0.8372295275864469
0.2742022628855195,0.8996756417410714,0.4329883349297916,0.83107214916858
